열,이름,태그,열 1,열 2
Yes,Vue - Django 연동,movie,영화추천 20개 보내기,2021년 11월 17일
Yes,Django DB,db,장르DB반영(TMDB API요청 및 저장),2021년 11월 18일
Yes,Django DB,db,영화DB반영(TMDB API요청 및 저장),2021년 11월 19일
Yes,Vue - Django 연동,account,회원가입 - 선택한 장르db에 반영,2021년 11월 19일
Yes,Vue - Django 연동,movie,영화상세 가지고오기(~11.25까지 수정),2021년 11월 20일
Yes,Vue - Django 연동,review,리뷰생성,2021년 11월 22일
Yes,Vue - Django 연동,review,리뷰 조회,2021년 11월 22일
Yes,Vue - Django 연동,review,리뷰 삭제,2021년 11월 22일
Yes,Vue - Django 연동,"modified, review",리뷰 수정(~11.25),2021년 11월 22일
Yes,Vue - Django 연동,movie,영화찜,2021년 11월 23일
Yes,Vue - Django 연동,comment,댓글 조회,2021년 11월 23일
Yes,Vue - Django 연동,comment,댓글 삭제,2021년 11월 23일
Yes,Vue - Django 연동,comment,댓글 생성,2021년 11월 23일
Yes,SEARCH TMDB API,search,영화searchAPI요청 및 db연동,2021년 11월 23일
Yes,Vue - Django 연동,movie,영화 찜,2021년 11월 23일
Yes,관리자페이지,admin,관리자페이지 연결,2021년 11월 23일
Yes,Vue - Django 연동,profile,"사용자 프로필(자신,타인)",2021년 11월 24일
Yes,Vue - Django 연동,boxoffice,박스오피스 영화정보API요청 및 저장,2021년 11월 24일
Yes,Vue - Django 연동,review,리뷰 좋아요 구현 및 db연동,2021년 11월 24일
Yes,Vue - Django 연동,profile,프로필이미지 수정가능,2021년 11월 24일
Yes,TMDB API 및 Vue - Django 연동,movie,tmdb recommend db 연동,2021년 11월 24일
Yes,알고리즘,algorithm,추천알고리즘(수정),2021년 11월 25일
Yes,Vue - Django 연동,profile,팔로우/팔로워 db연동,2021년 11월 25일
Yes,오류들 수정,error,자잘한 오류들 수정~!~!,2021년 11월 25일